Country or Area,Item,Year,Value
Slovenia,"International tourism, number of arrivals",2020,
Sweden,"International tourism, number of arrivals",2018,7440000
Sweden,"International tourism, number of arrivals",2019,7616000
Sweden,"International tourism, number of arrivals",2020,
Eswatini,"International tourism, number of arrivals",2018,1277000
Eswatini,"International tourism, number of arrivals",2019,1226000
Eswatini,"International tourism, number of arrivals",2020,
Sint Maarten (Dutch part),"International tourism, number of arrivals",2018,1775000
Sint Maarten (Dutch part),"International tourism, number of arrivals",2019,1952000
Sint Maarten (Dutch part),"International tourism, number of arrivals",2020,
Seychelles,"International tourism, number of arrivals",2018,405000
Seychelles,"International tourism, number of arrivals",2019,428000
Seychelles,"International tourism, number of arrivals",2020,
Syrian Arab Republic,"International tourism, number of arrivals",2018,1802000
Syrian Arab Republic,"International tourism, number of arrivals",2019,2424000
Syrian Arab Republic,"International tourism, number of arrivals",2020,
Turks and Caicos Islands,"International tourism, number of arrivals",2018,1463000
Turks and Caicos Islands,"International tourism, number of arrivals",2019,1599000
Turks and Caicos Islands,"International tourism, number of arrivals",2020,
Chad,"International tourism, number of arrivals",2018,
Chad,"International tourism, number of arrivals",2019,
Chad,"International tourism, number of arrivals",2020,
East Asia & Pacific (IDA & IBRD countries),"International tourism, number of arrivals",2018,277746440.562292
East Asia & Pacific (IDA & IBRD countries),"International tourism, number of arrivals",2019,289303382.62936
East Asia & Pacific (IDA & IBRD countries),"International tourism, number of arrivals",2020,
Europe & Central Asia (IDA & IBRD countries),"International tourism, number of arrivals",2018,314522981.238698
Europe & Central Asia (IDA & IBRD countries),"International tourism, number of arrivals",2019,331270663.506501
Europe & Central Asia (IDA & IBRD countries),"International tourism, number of arrivals",2020,
Togo,"International tourism, number of arrivals",2018,573000
Togo,"International tourism, number of arrivals",2019,876000
Togo,"International tourism, number of arrivals",2020,
Thailand,"International tourism, number of arrivals",2018,38178000
Thailand,"International tourism, number of arrivals",2019,39916000
Thailand,"International tourism, number of arrivals",2020,
Tajikistan,"International tourism, number of arrivals",2018,1035000
Tajikistan,"International tourism, number of arrivals",2019,
Tajikistan,"International tourism, number of arrivals",2020,
Turkmenistan,"International tourism, number of arrivals",2018,
Turkmenistan,"International tourism, number of arrivals",2019,
Turkmenistan,"International tourism, number of arrivals",2020,
Latin America & the Caribbean (IDA & IBRD countries),"International tourism, number of arrivals",2018,173716175.278622
Latin America & the Caribbean (IDA & IBRD countries),"International tourism, number of arrivals",2019,172906908.81459
Latin America & the Caribbean (IDA & IBRD countries),"International tourism, number of arrivals",2020,
Timor-Leste,"International tourism, number of arrivals",2018,74599.9984741211
Timor-Leste,"International tourism, number of arrivals",2019,74800.0030517578
Timor-Leste,"International tourism, number of arrivals",2020,
Middle East & North Africa (IDA & IBRD countries),"International tourism, number of arrivals",2018,59850935.7672056
Middle East & North Africa (IDA & IBRD countries),"International tourism, number of arrivals",2019,66910597.2929825
Middle East & North Africa (IDA & IBRD countries),"International tourism, number of arrivals",2020,
Tonga,"International tourism, number of arrivals",2018,77300.0030517578
Tonga,"International tourism, number of arrivals",2019,94000
Tonga,"International tourism, number of arrivals",2020,
South Asia (IDA & IBRD),"International tourism, number of arrivals",2018,25882111.5392904
South Asia (IDA & IBRD),"International tourism, number of arrivals",2019,26260132.181425
South Asia (IDA & IBRD),"International tourism, number of arrivals",2020,
Sub-Saharan Africa (IDA & IBRD countries),"International tourism, number of arrivals",2018,56031020.8315172
Sub-Saharan Africa (IDA & IBRD countries),"International tourism, number of arrivals",2019,55251253.9050801
Sub-Saharan Africa (IDA & IBRD countries),"International tourism, number of arrivals",2020,
Trinidad and Tobago,"International tourism, number of arrivals",2018,501000
Trinidad and Tobago,"International tourism, number of arrivals",2019,480000
Trinidad and Tobago,"International tourism, number of arrivals",2020,
Tunisia,"International tourism, number of arrivals",2018,8299000
Tunisia,"International tourism, number of arrivals",2019,9429000
Tunisia,"International tourism, number of arrivals",2020,
Turkey,"International tourism, number of arrivals",2018,46113000
Turkey,"International tourism, number of arrivals",2019,51747000
Turkey,"International tourism, number of arrivals",2020,
Tuvalu,"International tourism, number of arrivals",2018,2700.00004768372
Tuvalu,"International tourism, number of arrivals",2019,
Tuvalu,"International tourism, number of arrivals",2020,
Tanzania,"International tourism, number of arrivals",2018,1506000
Tanzania,"International tourism, number of arrivals",2019,1527000
Tanzania,"International tourism, number of arrivals",2020,
Uganda,"International tourism, number of arrivals",2018,
Uganda,"International tourism, number of arrivals",2019,
Uganda,"International tourism, number of arrivals",2020,
Ukraine,"International tourism, number of arrivals",2018,14342000
Ukraine,"International tourism, number of arrivals",2019,13710000
Ukraine,"International tourism, number of arrivals",2020,
Upper middle income,"International tourism, number of arrivals",2018,547874463.034995
Upper middle income,"International tourism, number of arrivals",2019,564311982.486026
Upper middle income,"International tourism, number of arrivals",2020,
Uruguay,"International tourism, number of arrivals",2018,3954000
Uruguay,"International tourism, number of arrivals",2019,3480000
Uruguay,"International tourism, number of arrivals",2020,
United States,"International tourism, number of arrivals",2018,169324921.875
United States,"International tourism, number of arrivals",2019,166009000
United States,"International tourism, number of arrivals",2020,
Uzbekistan,"International tourism, number of arrivals",2018,5346000
Uzbekistan,"International tourism, number of arrivals",2019,6749000
Uzbekistan,"International tourism, number of arrivals",2020,
St. Vincent and the Grenadines,"International tourism, number of arrivals",2018,356000
St. Vincent and the Grenadines,"International tourism, number of arrivals",2019,392000
St. Vincent and the Grenadines,"International tourism, number of arrivals",2020,
"Venezuela, RB","International tourism, number of arrivals",2018,
"Venezuela, RB","International tourism, number of arrivals",2019,
"Venezuela, RB","International tourism, number of arrivals",2020,
British Virgin Islands,"International tourism, number of arrivals",2018,192000
British Virgin Islands,"International tourism, number of arrivals",2019,302399.993896484
British Virgin Islands,"International tourism, number of arrivals",2020,
Virgin Islands (U.S.),"International tourism, number of arrivals",2018,1922000
Virgin Islands (U.S.),"International tourism, number of arrivals",2019,2074000
Virgin Islands (U.S.),"International tourism, number of arrivals",2020,
Vietnam,"International tourism, number of arrivals",2018,15498000
Vietnam,"International tourism, number of arrivals",2019,18009000
Vietnam,"International tourism, number of arrivals",2020,
Vanuatu,"International tourism, number of arrivals",2018,350000
Vanuatu,"International tourism, number of arrivals",2019,256000
Vanuatu,"International tourism, number of arrivals",2020,
World,"International tourism, number of arrivals",2018,2221458981.28986
World,"International tourism, number of arrivals",2019,2280131088.38613
World,"International tourism, number of arrivals",2020,
Samoa,"International tourism, number of arrivals",2018,172000
Samoa,"International tourism, number of arrivals",2019,181000
Samoa,"International tourism, number of arrivals",2020,
Kosovo,"International tourism, number of arrivals",2018,
Kosovo,"International tourism, number of arrivals",2019,
Kosovo,"International tourism, number of arrivals",2020,
"Yemen, Rep.","International tourism, number of arrivals",2018,
"Yemen, Rep.","International tourism, number of arrivals",2019,
"Yemen, Rep.","International tourism, number of arrivals",2020,
South Africa,"International tourism, number of arrivals",2018,15004000
South Africa,"International tourism, number of arrivals",2019,14797000
South Africa,"International tourism, number of arrivals",2020,
Zambia,"International tourism, number of arrivals",2018,1072000
Zambia,"International tourism, number of arrivals",2019,1266000
Zambia,"International tourism, number of arrivals",2020,
Zimbabwe,"International tourism, number of arrivals",2018,2580000
Zimbabwe,"International tourism, number of arrivals",2019,2294000
Zimbabwe,"International tourism, number of arrivals",2020,
Aruba,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,
Aruba,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,
Aruba,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,
Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,6.41439164755671
Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,6.47226928955243
Africa Eastern and Southern,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,6.81417669985147
Afghanistan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,11.06
Afghanistan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,10.98
Afghanistan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,11.73
Africa Western and Central,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,5.91061496406833
Africa Western and Central,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,5.92892616293053
Africa Western and Central,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,6.3001047205968
Angola,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,7
Angola,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,6.93
Angola,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,7.7
Albania,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,12.3
Albania,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,11.47
Albania,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,11.7
Andorra,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,
Andorra,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,
Andorra,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,
Arab World,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,10.2565794280878
Arab World,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,10.2072225784772
Arab World,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,11.481565055978
United Arab Emirates,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,2.23
United Arab Emirates,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,2.28
United Arab Emirates,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,5
Argentina,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,9.22
Argentina,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,9.84
Argentina,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,11.67
Armenia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,18.97
Armenia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,18.81
Armenia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,20.21
American Samoa,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,
American Samoa,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,
American Samoa,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,
Antigua and Barbuda,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,
Antigua and Barbuda,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,
Antigua and Barbuda,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,
Australia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,5.3
Australia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,5.16
Australia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,6.61
Austria,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,4.85
Austria,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,4.49
Austria,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,5.77
Azerbaijan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,4.9
Azerbaijan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,4.84
Azerbaijan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,6.27
Burundi,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,1.45
Burundi,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,1.42
Burundi,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,0.8
Belgium,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,5.95
Belgium,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,5.36
Belgium,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,6.01
Benin,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,2.37
Benin,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,2.32
Benin,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,2.54
Burkina Faso,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,4.7
Burkina Faso,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,4.62
Burkina Faso,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.96
Bangladesh,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,4.29
Bangladesh,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,4.22
Bangladesh,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,5.3
Bulgaria,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,5.21
Bulgaria,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,4.23
Bulgaria,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,5.71
Bahrain,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,1.51
Bahrain,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,1.56
Bahrain,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.09
"Bahamas, The","Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,10
"Bahamas, The","Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,10.11
"Bahamas, The","Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,14.41
Bosnia and Herzegovina,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,18.4
Bosnia and Herzegovina,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,15.69
Bosnia and Herzegovina,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,16.85
Belarus,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,4.76
Belarus,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,4.71
Belarus,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,5.28
Belize,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,6.52
Belize,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,6.46
Belize,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,7.82
Bermuda,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,
Bermuda,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,
Bermuda,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,
Bolivia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,3.52
Bolivia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,3.46
Bolivia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,5.61
Brazil,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,12.33
Brazil,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,11.93
Brazil,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,13.67
Barbados,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,10
Barbados,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,10.1
Barbados,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,12.79
Brunei Darussalam,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,8.7
Brunei Darussalam,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,6.92
Brunei Darussalam,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,8.37
Bhutan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,2.3
Bhutan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,2.27
Bhutan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,3.74
Botswana,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,17.32
Botswana,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,17.21
Botswana,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,17.7
Central African Republic,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,4.09
Central African Republic,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,4.04
Central African Republic,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.33
Canada,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,5.83
Canada,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,5.66
Canada,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,9.48
Central Europe and the Baltics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,4.31495143584406
Central Europe and the Baltics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,3.77959349454902
Central Europe and the Baltics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.56181965331029
Switzerland,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,4.71
Switzerland,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,4.39
Switzerland,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.94
Channel Islands,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,7.01
Channel Islands,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,7.11
Channel Islands,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,8.16
Chile,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,7.23
Chile,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,7.29
Chile,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,11.51
China,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,4.3
China,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,4.6
China,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,5
Cote d'Ivoire,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,3.21
Cote d'Ivoire,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,3.17
Cote d'Ivoire,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,3.5
Cameroon,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,3.36
Cameroon,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,3.32
Cameroon,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,3.62
"Congo, Dem. Rep.","Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,4.18
"Congo, Dem. Rep.","Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,4.13
"Congo, Dem. Rep.","Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.55
"Congo, Rep.","Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,9.66
"Congo, Rep.","Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,9.6
"Congo, Rep.","Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,10.27
Colombia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,9.11
Colombia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,9.96
Colombia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,15.44
Comoros,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,7.78
Comoros,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,7.7
Comoros,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,8.43
Cabo Verde,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,12.17
Cabo Verde,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,12.07
Cabo Verde,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,13.41
Costa Rica,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,9.63
Costa Rica,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,11.49
Costa Rica,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,17.08
Caribbean small states,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,8.74308531743396
Caribbean small states,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,8.03163332332528
Caribbean small states,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,9.79804591449609
Cuba,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,1.7
Cuba,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,1.67
Cuba,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,3.87
Curacao,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,
Curacao,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,
Curacao,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,
Cayman Islands,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,
Cayman Islands,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,
Cayman Islands,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,
Cyprus,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,8.37
Cyprus,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,7.07
Cyprus,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,7.21
Czech Republic,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,2.24
Czech Republic,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,2.01
Czech Republic,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,2.94
Germany,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,3.38
Germany,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,3.14
Germany,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.31
Djibouti,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,11.06
Djibouti,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,10.97
Djibouti,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,11.57
Dominica,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,
Dominica,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,
Dominica,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,
Denmark,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,5.13
Denmark,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,5.02
Denmark,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,5.66
Dominican Republic,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,5.86
Dominican Republic,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,6.36
Dominican Republic,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,8.9
Algeria,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,11.89
Algeria,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,11.81
Algeria,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,12.83
East Asia & Pacific (excluding high income),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,3.79434727780043
East Asia & Pacific (excluding high income),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,3.93794310692006
East Asia & Pacific (excluding high income),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.38917997056282
Early-demographic dividend,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,5.63585142534853
Early-demographic dividend,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,5.60194626088011
Early-demographic dividend,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,6.86486578480005
East Asia & Pacific,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,3.73533665009126
East Asia & Pacific,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,3.85825398353959
East Asia & Pacific,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.3387491257598
Europe & Central Asia (excluding high income),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,6.92226222461472
Europe & Central Asia (excluding high income),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,7.13478949274496
Europe & Central Asia (excluding high income),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,7.96588074846972
Europe & Central Asia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,6.88810572946084
Europe & Central Asia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,6.68588841086627
Europe & Central Asia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,7.40675213450157
Ecuador,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,3.53
Ecuador,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,3.81
Ecuador,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,6.23
"Egypt, Arab Rep.","Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,9.82
"Egypt, Arab Rep.","Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,9.73
"Egypt, Arab Rep.","Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,10.45
Euro area,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,8.18043402580075
Euro area,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,7.55229856799245
Euro area,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,8.20325602764402
Eritrea,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,6.41
Eritrea,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,6.34
Eritrea,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,7.44
Spain,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,15.26
Spain,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,14.1
Spain,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,15.67
Estonia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,5.37
Estonia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,4.45
Estonia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,6.46
Ethiopia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,2.07
Ethiopia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,2.04
Ethiopia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,2.79
European Union,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,7.26754474064268
European Union,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,6.69803120009586
European Union,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,7.37492817935492
Fragile and conflict affected situations,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,6.24895447650161
Fragile and conflict affected situations,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,6.21080168292098
Fragile and conflict affected situations,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,6.87312430746008
Finland,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,7.36
Finland,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,6.7
Finland,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,7.83
Fiji,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,4.16
Fiji,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,4.11
Fiji,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.79
France,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,9.02
France,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,8.44
France,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,8.62
Faroe Islands,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,
Faroe Islands,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,
Faroe Islands,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,
"Micronesia, Fed. Sts.","Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,
"Micronesia, Fed. Sts.","Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,
"Micronesia, Fed. Sts.","Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,
Gabon,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,19.77
Gabon,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,19.64
Gabon,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,20.47
United Kingdom,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,4
United Kingdom,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,3.74
